timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530123887512,343,HTTP Request,200,OK,Thread Group 1-22,text,true,,140,208,44,44,343,0,0
1530123887513,351,HTTP Request,200,OK,Thread Group 1-20,text,true,,140,208,45,45,351,0,0
1530123887478,386,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,45,45,386,0,0
1530123887546,319,HTTP Request,200,OK,Thread Group 1-6,text,true,,140,208,45,45,319,0,0
1530123887639,241,HTTP Request,200,OK,Thread Group 1-42,text,true,,140,208,45,45,241,0,20
1530123887552,328,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,45,45,328,0,0
1530123887550,330,HTTP Request,200,OK,Thread Group 1-32,text,true,,140,208,45,45,330,0,0
1530123887474,415,HTTP Request,200,OK,Thread Group 1-8,text,true,,140,208,45,45,415,0,28
1530123887557,332,HTTP Request,200,OK,Thread Group 1-31,text,true,,140,208,45,45,332,0,0
1530123887546,346,HTTP Request,200,OK,Thread Group 1-13,text,true,,140,208,45,45,346,0,19
1530123886896,997,HTTP Request,200,OK,Thread Group 1-1,text,true,,140,208,45,45,997,0,17
1530123887527,367,HTTP Request,200,OK,Thread Group 1-36,text,true,,140,208,45,45,367,0,0
1530123887726,170,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,45,45,170,0,0
1530123887737,176,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,45,45,176,0,33
1530123887726,187,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,45,45,187,0,0
1530123887707,206,HTTP Request,200,OK,Thread Group 1-4,text,true,,140,208,45,45,206,0,0
1530123887761,152,HTTP Request,200,OK,Thread Group 1-30,text,true,,140,208,45,45,152,0,0
1530123887761,156,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,45,45,156,0,0
1530123887742,190,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,46,46,190,0,0
1530123887817,116,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,46,46,116,0,18
1530123887761,181,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,46,46,181,0,0
1530123887789,161,HTTP Request,200,OK,Thread Group 1-29,text,true,,140,208,46,46,161,0,0
1530123887711,239,HTTP Request,200,OK,Thread Group 1-43,text,true,,140,208,46,46,239,0,15
1530123887761,195,HTTP Request,200,OK,Thread Group 1-37,text,true,,140,208,46,46,195,0,0
1530123887731,232,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,46,46,232,0,0
1530123887731,232,HTTP Request,200,OK,Thread Group 1-40,text,true,,140,208,46,46,232,0,0
1530123887771,198,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,46,46,198,0,0
1530123887761,208,HTTP Request,200,OK,Thread Group 1-19,text,true,,140,208,46,46,208,0,0
1530123887742,227,HTTP Request,200,OK,Thread Group 1-27,text,true,,140,208,46,46,227,0,0
1530123887784,192,HTTP Request,200,OK,Thread Group 1-39,text,true,,140,208,46,46,192,0,0
1530123887797,193,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,46,46,193,0,0
1530123887804,200,HTTP Request,200,OK,Thread Group 1-26,text,true,,140,208,46,46,200,0,0
1530123887791,213,HTTP Request,200,OK,Thread Group 1-2,text,true,,140,208,46,46,213,0,0
1530123887855,267,HTTP Request,200,OK,Thread Group 1-22,text,true,,140,208,48,48,267,0,0
1530123887331,792,HTTP Request,200,OK,Thread Group 1-12,text,true,,140,208,48,48,792,0,0
1530123887341,784,HTTP Request,200,OK,Thread Group 1-38,text,true,,140,208,48,48,784,0,16
1530123887864,263,HTTP Request,200,OK,Thread Group 1-20,text,true,,140,208,48,48,263,0,0
1530123887976,172,HTTP Request,200,OK,Thread Group 1-39,text,true,,140,208,48,48,172,0,0
1530123887893,257,HTTP Request,200,OK,Thread Group 1-1,text,true,,140,208,48,48,257,0,0
1530123887866,289,HTTP Request,200,OK,Thread Group 1-6,text,true,,140,208,49,49,289,0,0
1530123887881,274,HTTP Request,200,OK,Thread Group 1-32,text,true,,140,208,49,49,274,0,0
